date,InterestRate,Inflation,GDP,Unemployment,IndProd,sp500
12/1/1974,8.53,51.9,6030.464,7.2,41.9503,67.16937494
1/1/1975,7.13,52.3,5957.035,8.1,41.3689,72.56409108
2/1/1975,6.24,52.6,5957.035,8.1,40.4252,80.09684191
3/1/1975,5.54,52.8,5957.035,8.6,39.9804,83.83199921
4/1/1975,5.49,53,5999.61,8.8,40.0572,84.72318198
5/1/1975,5.22,53.1,5999.61,9,39.9402,90.09619032
6/1/1975,5.55,53.5,5999.61,8.8,40.1927,92.39714341
7/1/1975,6.1,54,6102.326,8.6,40.6115,92.48727313
8/1/1975,6.14,54.2,6102.326,8.4,41.0114,85.71380942
9/1/1975,6.24,54.6,6102.326,8.4,41.5422,84.67238072
10/1/1975,5.82,54.9,6184.53,8.4,41.7224,88.57434779
11/1/1975,5.22,55.3,6184.53,8.3,41.7797,90.06526345
12/1/1975,5.2,55.6,6184.53,8.2,42.3462,88.70045471
1/1/1976,4.87,55.8,6323.649,7.9,42.9082,96.85952359
2/1/1976,4.77,55.9,6323.649,7.7,43.3407,100.6394742
3/1/1976,4.84,56,6323.649,7.6,43.4281,101.0843479
4/1/1976,4.82,56.1,6370.025,7.7,43.6518,101.9295236
5/1/1976,5.29,56.4,6370.025,7.4,43.8315,101.1619991
6/1/1976,5.48,56.7,6370.025,7.6,43.8775,101.766818
7/1/1976,5.31,57,6404.895,7.8,44.1248,104.2009528
8/1/1976,5.29,57.3,6404.895,7.8,44.4262,103.2918184
9/1/1976,5.25,57.6,6404.895,7.6,44.5711,105.4533332
10/1/1976,5.02,57.9,6451.177,7.7,44.56,101.8852376
11/1/1976,4.95,58.1,6451.177,7.8,45.2454,101.1934998
12/1/1976,4.65,58.4,6451.177,7.8,45.731,104.6609084
1/1/1977,4.61,58.7,6527.703,7.5,45.4156,103.8133331
2/1/1977,4.68,59.3,6527.703,7.6,46.1358,100.9557893
3/1/1977,4.69,59.6,6527.703,7.4,46.7158,100.5695648
4/1/1977,4.73,60,6654.466,7.2,47.1719,99.05000076
5/1/1977,5.35,60.2,6654.466,7,47.541,98.76047589
6/1/1977,5.39,60.5,6654.466,7.2,47.9063,99.28590948
7/1/1977,5.42,60.8,6774.457,6.9,47.9714,100.1784202
8/1/1977,5.9,61.1,6774.457,7,48.0157,97.75000033
9/1/1977,6.14,61.3,6774.457,6.8,48.2097,96.23238046
10/1/1977,6.47,61.6,6774.592,6.8,48.2839,93.73952302
11/1/1977,6.51,62,6774.592,6.8,48.3755,94.28333391
12/1/1977,6.56,62.3,6774.592,6.4,48.4573,93.82047671
1/1/1978,6.7,62.7,6796.26,6.4,47.7512,90.24952298
2/1/1978,6.78,63,6796.26,6.3,48.0098,88.9752635
3/1/1978,6.79,63.4,6796.26,6.3,48.9358,88.8195454
4/1/1978,6.89,63.9,7058.92,6.1,49.9074,92.71049957
5/1/1978,7.36,64.5,7058.92,6,50.1513,97.41227306
6/1/1978,7.6,65,7058.92,5.9,50.4751,97.66181807
7/1/1978,7.81,65.5,7129.915,6.2,50.4371,97.19249992
8/1/1978,8.04,65.9,7129.915,5.9,50.6393,103.92174
9/1/1978,8.45,66.5,7129.915,6,50.7631,103.857
10/1/1978,8.96,67.1,7225.75,5.8,51.1523,100.5836352
11/1/1978,9.76,67.5,7225.75,5.9,51.5456,94.70952316
12/1/1978,10.03,67.9,7225.75,6,51.806,96.10749969
1/1/1979,10.07,68.5,7238.727,5.9,51.525,99.70500114
2/1/1979,10.06,69.2,7238.727,5.9,51.778,98.22947372
3/1/1979,10.09,69.9,7238.727,5.8,51.9382,100.1122728
4/1/1979,10.01,70.6,7246.454,5.8,51.3251,102.0660004
5/1/1979,10.24,71.4,7246.454,5.6,51.7782,99.72772702
